osm_way_id,centroid_lat,centroid_lng,bbox_area,levels,height,geocode_type,geocode_class,road,suburb,city,country,collected_at
499328468,51.09423702,71.41446058,9.698165999883856e-08,5.0,15.0,yes,building,Uly Dala Avenue,,Astana,Kazakhstan,2026-03-29T14:14:25.202409+00:00
499328469,51.09376486,71.4148374,1.4753183999762233e-07,5.0,15.0,yes,building,Uly Dala Avenue,,Astana,Kazakhstan,2026-03-29T14:14:25.202409+00:00
499328470,51.093674899999996,71.41376884,1.4431899999712825e-07,5.0,15.0,parking,amenity,28/5 көше көшесі,,Astana,Kazakhstan,2026-03-29T14:14:25.202409+00:00
499328471,51.093968100000005,71.41267792222223,6.009511199957663e-07,9.0,27.0,yes,building,Хейдар Әлиев көшесі,,Astana,Kazakhstan,2026-03-29T14:14:25.202409+00:00
499328472,51.09411913636364,71.41136705454545,8.760244500007941e-07,9.0,27.0,yes,building,Хейдар Әлиев көшесі,,Astana,Kazakhstan,2026-03-29T14:14:25.202409+00:00
499328473,51.096449953846154,71.41297078461538,2.0459334999986847e-06,5.0,15.0,pitch,leisure,Uly Dala Avenue,,Astana,Kazakhstan,2026-03-29T14:14:25.202409+00:00
499328474,51.09620072727273,71.40889700909091,7.843361699987166e-07,9.0,27.0,yes,building,Uly Dala Avenue,,Astana,Kazakhstan,2026-03-29T14:14:25.202409+00:00
499328475,51.095383781818185,71.40856530909092,5.654663699998956e-07,9.0,27.0,yes,building,Kabanbay Batyr Avenue,,Astana,Kazakhstan,2026-03-29T14:14:25.202409+00:00
499328476,51.0946256,71.40829804545454,5.232389000029667e-07,9.0,27.0,yes,building,Kabanbay Batyr Avenue,,Astana,Kazakhstan,2026-03-29T14:14:25.202409+00:00
499328477,51.096839370588235,71.40968253529411,1.3341861899931208e-06,8.0,24.0,apartments,building,Uly Dala Avenue,,Astana,Kazakhstan,2026-03-29T14:14:25.202409+00:00
